Transaction_Id,Amount,Assigned,Assigned_By,Assigned_To,Date_Time
154720,0.0,0,,,
150679,30.31,0,,,
81187,45.64,0,,,
18810,30.3,0,,,
274476,39.9,0,,,
226878,0.0,0,,,
150698,97.0,0,,,
18467,0.68,0,,,
223573,1.0,0,,,
43419,1.0,0,,,
151012,1.0,0,,,
154455,147.87,0,,,
248297,0.0,0,,,
73858,0.83,0,,,
88898,1.1,0,,,
74497,0.83,0,,,
6883,1.1,0,,,
247674,247.86,0,,,
40526,1.0,0,,,
43625,39.45,0,,,
59540,19.73,0,,,
243700,1.0,0,,,
43682,53.95,0,,,
226815,667.55,0,,,
150681,104.03,0,,,
89191,1402.16,0,,,
11842,1.0,0,,,
117975,12.01,0,,,
8297,1.0,0,,,
42770,118.3,0,,,
255404,4.97,0,,,
16781,99.99,0,,,
6337,1.0,0,,,
221042,2.0,0,,,
154372,2.28,0,,,
255557,0.77,0,,,
45204,1.0,0,,,
274469,2.0,0,,,
144109,310.42,0,,,
201099,0.0,0,,,
153836,1.0,0,,,
164956,119.99,0,,,
244334,1.0,0,,,
222134,144.8,0,,,
15205,99.99,0,,,
69499,8.0,0,,,
542,0.0,0,,,
19184,89.99,0,,,
249168,1504.93,0,,,
252125,0.77,0,,,
152020,1.0,0,,,
150667,78.0,0,,,
268376,39.98,0,,,
152296,9.82,0,,,
154698,7.59,0,,,
280144,0.76,0,,,
150655,0.01,0,,,
212517,0.01,0,,,
230077,0.77,0,,,
26803,19.02,0,,,
15452,99.99,0,,,
93789,0.0,0,,,
93425,1.0,0,,,
6821,1.0,0,,,
42010,112.33,0,,,
149875,600.73,0,,,
150668,78.0,0,,,
88259,6.62,0,,,
79537,1.0,0,,,
213117,8.3,0,,,
150648,8.54,0,,,
8843,0.0,0,,,
143336,252.92,0,,,
94219,720.38,0,,,
189879,1.0,0,,,
10457,1.0,0,,,
8618,1.0,0,,,
234706,0.0,0,,,
231986,296.21,0,,,
203325,1.0,0,,,
119782,124.53,0,,,
178209,45.51,0,,,
64330,99.99,0,,,
123142,254.76,0,,,
12109,1.0,0,,,
116140,76.94,0,,,
150693,37.93,0,,,
241255,9.29,0,,,
15567,99.99,0,,,
124088,1.0,0,,,
15477,99.99,0,,,
129874,1.0,0,,,
238367,2.0,0,,,
6610,1.0,0,,,
235617,0.76,0,,,
6473,1.0,0,,,
137706,1.0,0,,,
45733,1.0,0,,,
10892,188.78,0,,,
150926,45.48,0,,,
6720,1.0,0,,,
70590,261.87,0,,,
23423,717.15,0,,,
210808,62.8,0,,,
196950,37.89,0,,,
64461,99.99,0,,,
6109,59.0,0,,,
189702,93.35,0,,,
143334,0.0,0,,,
76930,1.0,0,,,
122480,219.8,0,,,
220726,324.59,0,,,
243750,1.0,0,,,
235635,0.76,0,,,
249608,35.0,0,,,
42697,88.23,0,,,
12071,1.0,0,,,
42937,59.68,0,,,
141261,512.25,0,,,
192383,2.0,0,,,
30497,111.7,0,,,
9253,1.0,0,,,
106999,3.79,0,,,
50212,1.0,0,,,
150664,316.06,0,,,
261057,45.51,0,,,
6428,1.0,0,,,
